Date : 2025-07-29 02:17:11
Directory : d:\repo\Phoenix11
Total : 852 files,  105764 codes, 6666 comments, 14251 blanks, all 126681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\repo\Phoenix11\accounting\apis.py                                                                              | Python           |        658 |          6 |         75 |        739 |
| d:\repo\Phoenix11\accounting\apps.py                                                                              | Python           |          5 |          0 |          3 |          8 |
| d:\repo\Phoenix11\accounting\constants.py                                                                         | Python           |          7 |          0 |          0 |          7 |
| d:\repo\Phoenix11\accounting\defaults.py                                                                          | Python           |        254 |         32 |         61 |        347 |
| d:\repo\Phoenix11\accounting\enums.py                                                                             | Python           |         66 |          1 |         20 |         87 |
| d:\repo\Phoenix11\accounting\forms.py                                                                             | Python           |        198 |          0 |         85 |        283 |
| d:\repo\Phoenix11\accounting\migrations\0001_initial.py                                                           | Python           |        303 |          1 |          7 |        311 |
| d:\repo\Phoenix11\accounting\migrations\0002_asset_owner.py                                                       | Python           |         15 |          1 |          6 |         22 |
| d:\repo\Phoenix11\accounting\migrations\0003_alter_invoiceline_unit_name_and_more.py                              | Python           |         17 |          1 |          6 |         24 |
| d:\repo\Phoenix11\accounting\migrations\0004_alter_asset_options_alter_bank_options_and_more.py                   | Python           |         68 |          1 |          6 |         75 |
| d:\repo\Phoenix11\accounting\migrations\0005_remove_invoice_shipping_fee_and_more.py                              | Python           |         21 |          1 |          6 |         28 |
| d:\repo\Phoenix11\accounting\migrations\0006_alter_invoiceline_unit_name_and_more.py                              | Python           |         17 |          1 |          6 |         24 |
| d:\repo\Phoenix11\accounting\migrations\__init__.py                                                               | Python           |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\accounting\models.py                                                                            | Python           |        441 |        310 |        104 |        855 |
| d:\repo\Phoenix11\accounting\repo.py                                                                              | Python           |      2,506 |         20 |         39 |      2,565 |
| d:\repo\Phoenix11\accounting\serializers.py                                                                       | Python           |         99 |          3 |         41 |        143 |
| d:\repo\Phoenix11\accounting\settings_on_local.py                                                                 | Python           |         28 |          1 |          6 |         35 |
| d:\repo\Phoenix11\accounting\templates\accounting\account.html                                                    | HTML             |         49 |          0 |         19 |         68 |
| d:\repo\Phoenix11\accounting\templates\accounting\accounts.html                                                   | HTML             |         11 |          0 |         10 |         21 |
| d:\repo\Phoenix11\accounting\templates\accounting\add-finanical-event.html                                        | HTML             |         12 |          0 |          2 |         14 |
| d:\repo\Phoenix11\accounting\templates\accounting\asset.html                                                      | HTML             |         39 |          0 |         25 |         64 |
| d:\repo\Phoenix11\accounting\templates\accounting\assets.html                                                     | HTML             |         21 |          0 |         10 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\brand.html                                                      | HTML             |         16 |          0 |          2 |         18 |
| d:\repo\Phoenix11\accounting\templates\accounting\brands.html                                                     | HTML             |         21 |          0 |         10 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\category.html                                                   | HTML             |         31 |          0 |         21 |         52 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-document-line.html                                    | HTML             |         33 |          0 |          6 |         39 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-document.html                                         | HTML             |         44 |          0 |          8 |         52 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-documents.html                                        | HTML             |         21 |          0 |         10 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-event.html                                            | HTML             |         47 |          0 |          3 |         50 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-events.html                                           | HTML             |         22 |          0 |         10 |         32 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-year.html                                             | HTML             |         22 |          0 |          7 |         29 |
| d:\repo\Phoenix11\accounting\templates\accounting\financial-years.html                                            | HTML             |         11 |          0 |          2 |         13 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\card-full.html                             | HTML             |         79 |          0 |          6 |         85 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\card.html                                  | HTML             |         31 |          0 |          5 |         36 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\media-simple.html                          | HTML             |         36 |          5 |         11 |         52 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\media.html                                 | HTML             |         32 |          0 |          9 |         41 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\script.html                                | HTML             |         44 |          0 |         13 |         57 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\account-app\select-script.html                         | HTML             |          7 |          0 |          0 |          7 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\accounts-app\script.html                               | HTML             |         17 |          0 |          1 |         18 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\accounts-app\template.html                             | HTML             |         74 |          0 |         10 |         84 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-account-app\script.html                            | HTML             |         47 |          0 |          6 |         53 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-account-app\template.html                          | HTML             |         95 |          0 |         22 |        117 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-asset-app\script.html                              | HTML             |         50 |          0 |          5 |         55 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-asset-app\template.html                            | HTML             |         81 |          0 |          5 |         86 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-brand-app\script.html                              | HTML             |         35 |          0 |          4 |         39 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-brand-app\template.html                            | HTML             |         40 |          0 |          8 |         48 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-app\script.html                 | HTML             |         13 |          0 |          2 |         15 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-app\template.html               | HTML             |         40 |          0 |          1 |         41 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-line-app\script.html            | HTML             |        127 |          0 |         22 |        149 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-document-line-app\template.html          | HTML             |        181 |          5 |         21 |        207 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-event-app\script.html                    | HTML             |        135 |          0 |         23 |        158 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-financial-event-app\template.html                  | HTML             |        176 |          0 |         50 |        226 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-app\script.html                            | HTML             |         93 |          0 |         13 |        106 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-app\template.html                          | HTML             |        119 |          0 |         23 |        142 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-line-app\script.html                       | HTML             |        132 |          0 |          8 |        140 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-invoice-line-app\template.html                     | HTML             |        191 |          0 |         33 |        224 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-account-app\script.html                     | HTML             |         58 |          0 |          8 |         66 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-account-app\template.html                   | HTML             |        133 |          0 |         11 |        144 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-category-app\script.html                    | HTML             |         55 |          0 |          8 |         63 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-person-category-app\template.html                  | HTML             |        102 |          0 |         12 |        114 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-app\script.html                            | HTML             |         49 |          0 |          4 |         53 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-app\template.html                          | HTML             |        101 |          0 |         13 |        114 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-to-category-app\script.html                | HTML             |         59 |          0 |          6 |         65 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-product-to-category-app\template.html              | HTML             |         53 |          0 |         14 |         67 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-service-app\script.html                            | HTML             |         41 |          0 |          4 |         45 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\add-service-app\template.html                          | HTML             |         67 |          0 |          9 |         76 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\assets-app\script.html                                 | HTML             |         16 |          0 |          2 |         18 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\assets-app\template.html                               | HTML             |         84 |          0 |         41 |        125 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\brand-app\card.html                                    | HTML             |          9 |          0 |          2 |         11 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\brand-app\script.html                                  | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\brands-app\script.html                                 | HTML             |         24 |          0 |          3 |         27 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\brands-app\template.html                               | HTML             |         87 |          0 |          4 |         91 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\list-script.html                        | HTML             |         42 |          0 |          7 |         49 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\list-template.html                      | HTML             |         70 |          0 |         22 |         92 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\script.html                             | HTML             |         42 |          0 |          7 |         49 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\categories-app\template.html                           | HTML             |         30 |          0 |         11 |         41 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-document-app\script.html                | HTML             |         39 |          0 |          2 |         41 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-document-app\template.html              | HTML             |         64 |          0 |          8 |         72 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-event-app\script.html                   | HTML             |         53 |          0 |          2 |         55 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-financial-event-app\template.html                 | HTML             |        108 |          0 |         13 |        121 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-invoice-app\script.html                           | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\edit-invoice-app\template.html                         | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\card-content.html               | HTML             |          7 |          0 |          1 |          8 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\script.html                     | HTML             |         12 |          0 |          5 |         17 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-app\select-script.html              | HTML             |          7 |          0 |          0 |          7 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-line-app\script.html                | HTML             |          9 |          0 |          0 |          9 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-lines-app\script.html               | HTML             |         41 |          0 |          9 |         50 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-document-lines-app\template.html             | HTML             |        249 |          0 |         29 |        278 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-documents-app\script.html                    | HTML             |         19 |          0 |          2 |         21 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-documents-app\template.html                  | HTML             |        106 |          6 |         48 |        160 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\card-contents.html                 | HTML             |         36 |          0 |          8 |         44 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\card.html                          | HTML             |         11 |          0 |          2 |         13 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\script.html                        | HTML             |         14 |          0 |          7 |         21 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-event-app\select-script.html                 | HTML             |          7 |          0 |          0 |          7 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-events-app\script.html                       | HTML             |         19 |          0 |          2 |         21 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-events-app\template.html                     | HTML             |        142 |          6 |         52 |        200 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\form.html                          | HTML             |         63 |          0 |         20 |         83 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\script.html                        | HTML             |         50 |          0 |          5 |         55 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\financial-years-app\template.html                      | HTML             |        104 |          6 |         52 |        162 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-from-excel\script.html                          | HTML             |         52 |          0 |          4 |         56 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-from-excel\template.html                        | HTML             |         55 |          0 |         25 |         80 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-products-from-excel-app\script.html             | HTML             |         49 |          0 |          4 |         53 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-products-from-excel-app\template.html           | HTML             |         68 |          0 |         32 |        100 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-services-from-excel-app\script.html             | HTML             |         49 |          0 |          4 |         53 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\import-services-from-excel-app\template.html           | HTML             |         68 |          0 |         39 |        107 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-app\card.html                                  | HTML             |         19 |          0 |          5 |         24 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-app\script.html                                | HTML             |          8 |          0 |          5 |         13 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\card-contents.html               | HTML             |          6 |          0 |          1 |          7 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\card.html                        | HTML             |         10 |          0 |          4 |         14 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-app\script.html                      | HTML             |          5 |          0 |          1 |          6 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-units-app\script.html                | HTML             |         60 |          0 |          3 |         63 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-line-item-units-app\template.html              | HTML             |        209 |          6 |         25 |        240 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\invoice-line-component-template.html | HTML             |         27 |          0 |          6 |         33 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\print-template.html                  | HTML             |        193 |         21 |         40 |        254 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\script.html                          | HTML             |         77 |          0 |         13 |         90 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoice-lines-app\template.html                        | HTML             |        286 |         11 |        124 |        421 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoices-app\script.html                               | HTML             |         27 |          0 |          4 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\invoices-app\template.html                             | HTML             |        130 |          0 |         45 |        175 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\navbar.html                                            | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\card.html                           | HTML             |        114 |          0 |         20 |        134 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\category.html                       | HTML             |         24 |          0 |          3 |         27 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-account-app\script.html                         | HTML             |          1 |          0 |          1 |          2 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-accounts-app\script.html                        | HTML             |         17 |          0 |          1 |         18 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-accounts-app\template.html                      | HTML             |         82 |          0 |         13 |         95 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-categories-app\script.html                      | HTML             |         27 |          0 |          4 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\person-categories-app\template.html                    | HTML             |         94 |          0 |          2 |         96 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\card-contents.html                         | HTML             |         24 |          0 |          4 |         28 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\card.html                                  | HTML             |         13 |          0 |          3 |         16 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\product-app\script.html                                | HTML             |          4 |          0 |          1 |          5 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\product-specifications-app\script.html                 | HTML             |         34 |          0 |          0 |         34 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\product-specifications-app\template.html               | HTML             |        137 |          6 |         51 |        194 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\list-script.html                          | HTML             |         29 |          0 |          4 |         33 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\list-template.html                        | HTML             |         86 |          0 |         21 |        107 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\script.html                               | HTML             |         50 |          0 |          5 |         55 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\products-app\template.html                             | HTML             |         34 |          0 |         10 |         44 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\card-contents.html                         | HTML             |          6 |          0 |          1 |          7 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\card.html                                  | HTML             |         10 |          0 |          5 |         15 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\service-app\script.html                                | HTML             |          4 |          0 |          1 |          5 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\services-app\script.html                               | HTML             |         26 |          0 |          3 |         29 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\services-app\template.html                             | HTML             |         96 |          0 |          8 |        104 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\set-account-parent-app\script.html                     | HTML             |         59 |          0 |         14 |         73 |
| d:\repo\Phoenix11\accounting\templates\accounting\includes\set-account-parent-app\template.html                   | HTML             |         54 |          0 |         14 |         68 |
| d:\repo\Phoenix11\accounting\templates\accounting\index.html                                                      | HTML             |        136 |          0 |         26 |        162 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoice-edit.html                                               | HTML             |        283 |          0 |         19 |        302 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoice-line-item.html                                          | HTML             |         28 |          0 |         10 |         38 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoice-line.html                                               | HTML             |         24 |          0 |         11 |         35 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoice-print.html                                              | HTML             |         91 |          0 |         32 |        123 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoice.html                                                    | HTML             |         63 |          0 |          4 |         67 |
| d:\repo\Phoenix11\accounting\templates\accounting\invoices.html                                                   | HTML             |         21 |          0 |         11 |         32 |
| d:\repo\Phoenix11\accounting\templates\accounting\layout.html                                                     | HTML             |          1 |          0 |          0 |          1 |
| d:\repo\Phoenix11\accounting\templates\accounting\person-account.html                                             | HTML             |         42 |          0 |         18 |         60 |
| d:\repo\Phoenix11\accounting\templates\accounting\person-accounts.html                                            | HTML             |         19 |          0 |         13 |         32 |
| d:\repo\Phoenix11\accounting\templates\accounting\person-categories.html                                          | HTML             |         19 |          0 |         12 |         31 |
| d:\repo\Phoenix11\accounting\templates\accounting\product.html                                                    | HTML             |         52 |          0 |          8 |         60 |
| d:\repo\Phoenix11\accounting\templates\accounting\products.html                                                   | HTML             |         29 |          0 |         10 |         39 |
| d:\repo\Phoenix11\accounting\templates\accounting\search.html                                                     | HTML             |         57 |          0 |         29 |         86 |
| d:\repo\Phoenix11\accounting\templates\accounting\selection.html                                                  | HTML             |        193 |          0 |         63 |        256 |
| d:\repo\Phoenix11\accounting\templates\accounting\service.html                                                    | HTML             |         22 |          0 |          6 |         28 |
| d:\repo\Phoenix11\accounting\templates\accounting\services.html                                                   | HTML             |         29 |          0 |         10 |         39 |
| d:\repo\Phoenix11\accounting\templates\accounting\settings.html                                                   | HTML             |        114 |          0 |          7 |        121 |
| d:\repo\Phoenix11\accounting\templates\accounting\settings33.html                                                 | HTML             |         34 |          0 |          5 |         39 |
| d:\repo\Phoenix11\accounting\templates\accounting\tree-chart.html                                                 | HTML             |         90 |          0 |         33 |        123 |
| d:\repo\Phoenix11\accounting\templates\accounting\tree-list.html                                                  | HTML             |         43 |          0 |          8 |         51 |
| d:\repo\Phoenix11\accounting\templatetags\account_code_seperator.py                                               | Python           |         13 |          0 |          5 |         18 |
| d:\repo\Phoenix11\accounting\templatetags\to_card_no.py                                                           | Python           |          8 |          0 |          3 |         11 |
| d:\repo\Phoenix11\accounting\templatetags\to_price_color_btn.py                                                   | Python           |         13 |          1 |          0 |         14 |
| d:\repo\Phoenix11\accounting\templatetags\to_variz_text.py                                                        | Python           |          5 |          1 |          0 |          6 |
| d:\repo\Phoenix11\accounting\tests.py                                                                             | Python           |          1 |          0 |          2 |          3 |
| d:\repo\Phoenix11\accounting\urls.py                                                                              | Python           |         77 |          0 |         49 |        126 |
| d:\repo\Phoenix11\accounting\views.py                                                                             | Python           |        946 |         27 |        276 |      1,249 |
| d:\repo\Phoenix11\archive\__init__.py                                                                             | Python           |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\archive\admin.py                                                                                | Python           |          4 |          0 |          2 |          6 |
| d:\repo\Phoenix11\archive\apis.py                                                                                 | Python           |         23 |          0 |          0 |         23 |
| d:\repo\Phoenix11\archive\apps.py                                                                                 | Python           |          5 |          0 |          2 |          7 |
| d:\repo\Phoenix11\archive\forms.py                                                                                | Python           |          9 |          0 |          2 |         11 |
| d:\repo\Phoenix11\archive\migrations\0001_initial.py                                                              | Python           |         42 |          1 |          7 |         50 |
| d:\repo\Phoenix11\archive\migrations\__init__.py                                                                  | Python           |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\archive\models.py                                                                               | Python           |         58 |         23 |         13 |         94 |
| d:\repo\Phoenix11\archive\repo.py                                                                                 | Python           |        104 |          0 |         13 |        117 |
| d:\repo\Phoenix11\archive\serializers.py                                                                          | Python           |         11 |          0 |          4 |         15 |
| d:\repo\Phoenix11\archive\templates\archive\file.html                                                             | HTML             |         55 |          0 |         33 |         88 |
| d:\repo\Phoenix11\archive\templates\archive\folder.html                                                           | HTML             |        165 |          0 |         17 |        182 |
| d:\repo\Phoenix11\archive\templates\archive\includes\navbar.html                                                  | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\archive\templates\archive\index.html                                                            | HTML             |         16 |          0 |          0 |         16 |
| d:\repo\Phoenix11\archive\templates\archive\layout.html                                                           | HTML             |          1 |          0 |          0 |          1 |
| d:\repo\Phoenix11\archive\templates\archive\search.html                                                           | HTML             |         74 |          0 |         21 |         95 |
| d:\repo\Phoenix11\archive\templates\archive\wide-layout.html                                                      | HTML             |          1 |          0 |          0 |          1 |
| d:\repo\Phoenix11\archive\tests.py                                                                                | Python           |          1 |          1 |          2 |          4 |
| d:\repo\Phoenix11\archive\urls.py                                                                                 | Python           |         14 |          0 |          1 |         15 |
| d:\repo\Phoenix11\archive\views.py                                                                                | Python           |        119 |          1 |         22 |        142 |
| d:\repo\Phoenix11\attachments\__init__.py                                                                         | Python           |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\attachments\admin.py                                                                            | Python           |         11 |          0 |          1 |         12 |
| d:\repo\Phoenix11\attachments\apis.py                                                                             | Python           |        209 |          2 |         29 |        240 |
| d:\repo\Phoenix11\attachments\apps.py                                                                             | Python           |          5 |          0 |          3 |          8 |
| d:\repo\Phoenix11\attachments\enums.py                                                                            | Python           |          3 |          0 |          4 |          7 |
| d:\repo\Phoenix11\attachments\forms.py                                                                            | Python           |         38 |          0 |         13 |         51 |
| d:\repo\Phoenix11\attachments\migrations\0001_initial.py                                                          | Python           |        103 |          1 |          7 |        111 |
| d:\repo\Phoenix11\attachments\migrations\0002_initial.py                                                          | Python           |         88 |          1 |          7 |         96 |
| d:\repo\Phoenix11\attachments\migrations\0003_alter_download_file.py                                              | Python           |         13 |          1 |          6 |         20 |
| d:\repo\Phoenix11\attachments\migrations\0004_alter_download_file.py                                              | Python           |         13 |          1 |          6 |         20 |
| d:\repo\Phoenix11\attachments\migrations\0005_tag.py                                                              | Python           |         22 |          1 |          6 |         29 |
| d:\repo\Phoenix11\attachments\migrations\0006_alter_download_file.py                                              | Python           |         13 |          1 |          6 |         20 |
| d:\repo\Phoenix11\attachments\migrations\__init__.py                                                              | Python           |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\attachments\models.py                                                                           | Python           |        188 |        210 |         46 |        444 |
| d:\repo\Phoenix11\attachments\repo.py                                                                             | Python           |        329 |          5 |         48 |        382 |
| d:\repo\Phoenix11\attachments\serializer.py                                                                       | Python           |         42 |          2 |         21 |         65 |
| d:\repo\Phoenix11\attachments\templates\attachments\comments.html                                                 | HTML             |         13 |          0 |         10 |         23 |
| d:\repo\Phoenix11\attachments\templates\attachments\downloads.html                                                | HTML             |         13 |          0 |         10 |         23 |
| d:\repo\Phoenix11\attachments\templates\attachments\image.html                                                    | HTML             |         62 |          5 |         23 |         90 |
| d:\repo\Phoenix11\attachments\templates\attachments\images.html                                                   | HTML             |         13 |          0 |         10 |         23 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\areas-app\script.html                                | HTML             |         35 |          0 |          1 |         36 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\areas-app\template.html                              | HTML             |        132 |          0 |         49 |        181 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\comments-app\component.html                          | HTML             |         50 |          0 |          3 |         53 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\comments-app\list.html                               | HTML             |         56 |          0 |          3 |         59 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\comments-app\script.html                             | HTML             |         70 |          0 |          9 |         79 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\comments-app\template.html                           | HTML             |         49 |          0 |          0 |         49 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\downloads-app\list.html                              | HTML             |         94 |          0 |         19 |        113 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\downloads-app\script.html                            | HTML             |         46 |          0 |          6 |         52 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\downloads-app\template.html                          | HTML             |         87 |          0 |         22 |        109 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\images-app\script.html                               | HTML             |         54 |          0 |          9 |         63 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\images-app\template.html                             | HTML             |         74 |          0 |         38 |        112 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\links-app\list.html                                  | HTML             |         94 |          0 |         19 |        113 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\links-app\script.html                                | HTML             |         34 |          0 |          1 |         35 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\links-app\template.html                              | HTML             |         88 |          6 |         24 |        118 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\add-location-form.html                 | HTML             |         19 |          0 |          0 |         19 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\add-page-location-form.html            | HTML             |         23 |          0 |          2 |         25 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\footer.html                            | HTML             |         19 |          0 |          4 |         23 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\script.html                            | HTML             |         80 |          0 |         11 |         91 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\template-with-preview.html             | HTML             |         59 |          0 |         21 |         80 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\locations-app\template.html                          | HTML             |         57 |          0 |          7 |         64 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\navbar.html                                          | HTML             |          0 |          0 |          1 |          1 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\page-like-app\page-likes.html                        | HTML             |        105 |          0 |         42 |        147 |
| d:\repo\Phoenix11\attachments\templates\attachments\includes\page-like-app\script.html                            | HTML             |         47 |          0 |          3 |         50 |
